Stop_ID,FIPS,mix_x,max_x,min_y,max_y
1_50360,530330287001015,-122.321853,-122.32017,47.416038,47.418586
1_51810,530330113001000,-122.347092,-122.334407,47.518532,47.540351
1_1340,530330092002000,-122.330267,-122.328984,47.600873,47.601733
1_5790,530330029001000,-122.357983,-122.355303,47.689834,47.690609
1_57320,530330293054000,-122.199722,-122.197064,47.424038,47.426691
1_50330,530330287001003,-122.324188,-122.320057,47.422339,47.423047
1_8570,530330090002033,-122.317257,-122.311513,47.595811,47.597498
1_51877,530330112002061,-122.33918,-122.337091,47.539772,47.540688
1_51879,530330108001022,-122.343184,-122.338551,47.540135,47.541085
1_57330,530330293054003,-122.20181,-122.197055,47.419466,47.423113
1_51870,530330109002067,-122.33422,-122.329579,47.544913,47.550458
1_50340,530330287001004,-122.32308,-122.320186,47.421065,47.422371
1_57300,530330293033004,-122.204945,-122.19697,47.430097,47.444786
1_4200,530330072003000,-122.348041,-122.346247,47.617241,47.618575
1_1360,530330085003007,-122.328536,-122.326367,47.601708,47.603444
1_50310,530330287003015,-122.329692,-122.324845,47.425553,47.429011
1_57310,530330293053000,-122.198431,-122.197076,47.426689,47.430228
1_1370,530330081002048,-122.329985,-122.329024,47.601713,47.602223
1_8590,530330094002008,-122.311597,-122.30972,47.593073,47.594354
1_50320,530330287003013,-122.330208,-122.324783,47.423058,47.427075
1_21620,530330099002014,-122.363316,-122.362244,47.564767,47.568347
1_57350,530330294031000,-122.204304,-122.197042,47.412267,47.415897
1_19480,530330071001003,-122.368402,-122.361946,47.622128,47.626633
1_15205,530330093003029,-122.334205,-122.33324,47.575574,47.577726
1_28740,530330004023009,-122.360891,-122.359534,47.712356,47.714179
1_27690,530330089001003,-122.288237,-122.285316,47.600218,47.601745
1_20170,530330116006000,-122.393096,-122.390701,47.538019,47.539669
1_57340,530330293052000,-122.199568,-122.197051,47.417729,47.419475
1_19490,530330071001003,-122.368402,-122.361946,47.622128,47.626633
1_800,530330081002023,-122.333564,-122.3318,47.606086,47.607265
1_21600,530330099002014,-122.363316,-122.362244,47.564767,47.568347
1_57370,530330294031014,-122.207439,-122.197094,47.401178,47.408663
1_57375,530330294031014,-122.207439,-122.197094,47.401178,47.408663
1_27670,530330078001045,-122.285976,-122.284376,47.602764,47.603882
1_28720,530330014001017,-122.360841,-122.359483,47.708734,47.710459
1_1300,530330082002008,-122.328473,-122.32671,47.607229,47.608407
1_57360,530330294031010,-122.19964,-122.197075,47.411032,47.412256
1_27660,530330078001042,-122.291302,-122.286365,47.601642,47.604384
1_15230,530330093003023,-122.334204,-122.33324,47.577725,47.579809
1_820,530330081002028,-122.330299,-122.328536,47.602541,47.603696
1_821,530330081002026,-122.331606,-122.329843,47.603947,47.605124
1_57390,530330294071002,-122.202263,-122.19988,47.399735,47.401458
1_28700,530330014002011,-122.360792,-122.359438,47.705111,47.70693
1_20130,530330106004001,-122.392446,-122.387212,47.544375,47.546735
1_50280,530330287003000,-122.328484,-122.324918,47.428991,47.431238
1_8641,530330094003029,-122.302948,-122.302201,47.583655,47.584499
1_50270,530330285002025,-122.324976,-122.324666,47.433402,47.434263
1_21670,530330093003096,-122.322769,-122.321412,47.571628,47.573605
1_840,530330092001012,-122.327669,-122.326359,47.599191,47.600032
1_843,530330093002000,-122.32793,-122.327669,47.597515,47.599194
